label,gemeturi,glossaryuri,comments,replacewith,geonames,instructions:
APR2007,,,,none,,write: the label of the correct one in the replace with column
10 messages for 2010,,,,,,"if needs to be deleted, write none in the replace column"
2010 biodiversity target,,,,,,
Aarhus convention,,,,,,
aboutEEA,,,,none,,
absorption capacity,,,,,,delete
abstraction,,,,,,
accident,http://www.eionet.europa.eu/gemet/concept/25,http://glossary.eea.europa.eu/EEAGlossary/A/accident,,accidents,,
acid,http://www.eionet.europa.eu/gemet/concept/52,,,acidity,,
acid rain,http://www.eionet.europa.eu/gemet/concept/51,http://glossary.eea.europa.eu/EEAGlossary/A/acid_rain,,,,"""geo"" in the comments column for geotags to be moved to another field"
acidification,http://www.eionet.europa.eu/gemet/concept/44,http://glossary.eea.europa.eu/EEAGlossary/A/acidification,,,,
acidophilous oak forest,,,,acidophilous oak forests,,
adaptation,,,,,,
adaptation strategy,,,,adaptation strategies,,
administrative,,,,administration,,
advertising,,,,,,
afforestation,http://www.eionet.europa.eu/gemet/concept/167,http://glossary.eea.europa.eu/EEAGlossary/A/afforestation,,,,
age,http://www.eionet.europa.eu/gemet/concept/173,,,,,
aggregate extraction,http://www.eionet.europa.eu/gemet/concept/12511,,,,,
agricultural ecosystem,,,,agricultural ecosystems,,
agriculture,http://www.eionet.europa.eu/gemet/concept/232,,,,,
agriculture bioenergy potential,,,,,,
agriculture policy,,,,,,
agri-environment,,,,,,
agri-environment indicators,,,,,,
Agro-ecosystems,,,,agro-ecosystems,,
agro-ecosystems,,,,,,
air,http://www.eionet.europa.eu/gemet/concept/245,,,,,
air conditioning,http://www.eionet.europa.eu/gemet/concept/250,,,,,
air emissions,,,,,,
Air pollutant emissions,,,,air pollutant emissions,,
air pollutant emissions,,,,,,
air pollutant emissions data viewer,,,,,,
air pollutant inventory,,,,,,
Air Pollution,,,,air pollution,,
Air pollution,,,,air pollution,,
air pollution,http://www.eionet.europa.eu/gemet/concept/265,http://glossary.eea.europa.eu/EEAGlossary/A/air_pollution,,,,
air pollution control,,,,,,
air pollution costs,,,,,,
air pollution from energy,,,,,,
Air quality,,,,air quality,,
air quality,http://www.eionet.europa.eu/gemet/concept/270,,,,,
air quality data,,,,,,
air quality directive,,,,Air Quality Directive,,
air quality forecasting,,,,,,
air quality monitoring,http://www.eionet.europa.eu/gemet/concept/14973,,,,,
air quality zones 2009,,,,,,
air traffic,http://www.eionet.europa.eu/gemet/concept/282,,,,,
air transport,,,,,,
air transport emissions,,,,,,
AirBase,,,,,,
airbase,,,,AirBase,,
alcohol,http://www.eionet.europa.eu/gemet/concept/298,,,,,
algae,,,,,,
alien species,,http://glossary.eea.europa.eu/EEAGlossary/A/alien_species,,,,
alkalinity,,http://glossary.eea.europa.eu/EEAGlossary/A/alkalinity,,,,
allergy,http://www.eionet.europa.eu/gemet/concept/332,http://glossary.eea.europa.eu/EEAGlossary/A/allergy,,,,
alpine,,,geo,Alps,2661786,
alpine coniferous forest,,,,alpine coniferous forests,,
alpine rivers,,,,,,
Alps,,,geo,,2661786,
alps,,,geo,Alps,2661786,
alps2009,,,,Alps,,
alternative fuel,,,,alternative fuels,,
alternative water supplies,,,,,,
altimetry,,,,,,
aluminium,http://www.eionet.europa.eu/gemet/concept/353,,,,,
ammonia,http://www.eionet.europa.eu/gemet/concept/375,http://glossary.eea.europa.eu/EEAGlossary/A/ammonia,,,,
ammonium,http://www.eionet.europa.eu/gemet/concept/379,http://glossary.eea.europa.eu/EEAGlossary/A/ammonium,,,,
amphibia,,,,amphibians,,
amphibian,http://www.eionet.europa.eu/gemet/concept/387,,,amphibians,,
An Assessment of Assessments,,,,Assessment of Assessments,,
Anatolian,,,geo,Anatolian region,323835,
anchovy,,,,anchovies,,
ancillary data,,,,,,
animal,http://www.eionet.europa.eu/gemet/concept/450,,,animals,,
annual accounts,,,,,,
annual average,,,,,,
annual fellings,,,,,,
annual management plan,,,,,,
annual report,,,,annual reports,,
anoxia,,http://glossary.eea.europa.eu/EEAGlossary/A/anoxia,,,,
anoxic,,http://glossary.eea.europa.eu/EEAGlossary/A/anoxic,,,,
anoxic area,,,,anoxic areas,,
anthropogenic,,http://glossary.eea.europa.eu/EEAGlossary/A/anthropogenic,,,,
anthropogenic GHG emission,,,,anthropogenic GHG emissions,,
antibiotic,http://www.eionet.europa.eu/gemet/concept/473,,,,,
antifouling paint,,,,,,
AOT40,,http://glossary.eea.europa.eu/EEAGlossary/A/AOT40,,,,
APE,,,,air pollution indicators,,
APE001,,,,air pollution indicators,,
APE002,,,,air pollution indicators,,
APE003,,,,air pollution indicators,,
APE004,,,,air pollution indicators,,
APE005,,,,air pollution indicators,,
APE006,,,,air pollution indicators,,
APE2009,,,,air pollution indicators,,
APE2010,,,,air pollution indicators,,
APE2011,,,,air pollution indicators,,
APE3a,,,,air pollution indicators,,
appliances,,,,household appliances,,
aquaculture,http://www.eionet.europa.eu/gemet/concept/501,http://glossary.eea.europa.eu/EEAGlossary/A/aquaculture,,,,
aquatic ecosystems,,,,,,
aquatic habitats,,,,,,
aquatic life,,,,,,
Arctic,,,geo,Arctic region,?,
arctic,,,geo,Arctic region,?,
arctic region,,,geo,Arctic region,?,
arctic sea ice,,,,,,
Arsenic,,,,arsenic,,
arsenic,http://www.eionet.europa.eu/gemet/concept/567,,,,,
artificial sprawl,,,,urban sprawl,,
artificialisation,,,,,,
asbestos,http://www.eionet.europa.eu/gemet/concept/591,http://glossary.eea.europa.eu/EEAGlossary/A/asbestos,,,,
aspen forest,,,,aspen forests,,
assessment of assessments,,,,Assessment of Assessments,,
assessment04,,,,none,,
assessment05,,,,none,,
assessment06,,,,none,,
Assessment07,,,,none,,
assessment07,,,,none,,
Assessment08,,,,none,,
assessment08,,,,none,,
